    lat     lon            mean              annu_cos              annu_sin          semiannu_cos         semiannu_sin
   0.000   91.500    1.4483771246e-04    -2.5683198853e-07     6.3028721755e-07     3.2243251674e-07    -1.3919945853e-07 
   0.000   92.000    1.4481380131e-04    -2.2003575255e-07     6.1589506884e-07     2.9889109937e-07    -1.3919620383e-07 
   0.000   92.500    1.4477384178e-04    -1.8508536452e-07     6.0807924642e-07     3.0010304793e-07    -1.4337498103e-07 
   0.000   93.000    1.4475147349e-04    -1.5142462450e-07     6.3220069225e-07     3.0028999715e-07    -1.3025836560e-07 
   0.000   93.500    1.4473063340e-04    -1.2623544696e-07     6.3466258559e-07     3.1554826700e-07    -1.0646790907e-07 
   0.000   94.000    1.4468121464e-04    -8.2844253901e-08     6.1404819099e-07     3.0419490617e-07    -6.7131467014e-08 
   0.000   94.500    1.4462528771e-04    -7.4838270352e-08     6.1390480115e-07     2.9847125883e-07    -2.9783921667e-08 
   0.000   95.000    1.4457156708e-04    -5.6371962026e-08     6.2023363720e-07     3.0940097177e-07     7.1019984883e-09 
   0.000   95.500    1.4449466400e-04    -1.8320607221e-08     6.0249596190e-07     2.9742329657e-07     3.6527913891e-08 
   0.000   96.000    1.4446920263e-04    -3.5597674997e-09     5.6932437815e-07     2.8792891155e-07     6.9790633926e-08 
   0.000   96.500    1.4443661036e-04    -2.5317243682e-08     5.1819110061e-07     3.0913276986e-07     1.1236896641e-07 
   0.000   97.000    1.4441531127e-04    -5.5643564829e-08     4.9657997385e-07     3.2191591042e-07     1.3622202016e-07 
   0.000   97.500    1.4435628560e-04    -9.2777901707e-08     4.4926957791e-07     3.0667411038e-07     1.5513442384e-07 
   0.000   98.000    1.4422112582e-04    -1.3389014735e-07     4.1235384741e-07     2.7896823852e-07     1.7258272996e-07 
   0.000   98.500    1.4395810380e-04    -2.3032961189e-07     4.3445971780e-07     2.6056151610e-07     2.4313880703e-07 
   0.000   99.000    1.4380315452e-04    -3.8691855265e-07     3.0740352430e-07     9.4278176933e-08     3.5196654707e-07 
   0.000   99.500    1.4224895653e-04    -1.1855182863e-07     1.5528604845e-07    -2.9975209979e-07     3.9854217111e-07 
   0.000  100.000    1.4100567618e-04    -2.8352472896e-08     1.4924436146e-07    -4.8092945215e-07     2.1789957745e-07 
   0.000  100.500    1.4070587356e-04     8.2083904967e-08     4.2890905360e-07    -2.5508046752e-07     1.6807840245e-07 
   0.000  101.000    1.4202334720e-04    -9.4305872887e-08     6.3731052101e-07    -2.3499535935e-07     6.5667776303e-08 
   0.000  101.500    1.4293615104e-04    -2.8416895578e-07     8.0657361610e-07    -3.7490879733e-07    -3.1808380495e-07 
   0.000  102.000    1.4336837145e-04    -3.4175888148e-07     7.1782459297e-07    -2.5316511515e-07    -2.0760001461e-07 
   0.000  102.500    1.4365020242e-04    -3.5168293680e-07     7.4331556846e-07    -1.8822882316e-07    -1.4581867393e-07 
   0.000  103.000    1.4404973315e-04    -4.1488822523e-07     6.0453701451e-07    -8.4603057762e-08     1.3600922173e-08 
   0.000  103.500    1.4469131606e-04    -7.5409103557e-07     4.9450588909e-07    -5.1349586115e-08     1.5929326101e-07 
   0.000  104.000    1.4453891931e-04    -6.2998298462e-07     4.0373815623e-07    -1.3024408187e-07     2.3652604998e-07 
   0.000  104.500    1.4470058173e-04    -7.4195597466e-07     3.3342526153e-07    -1.6278199374e-08     2.3276848278e-07 
   0.000  105.000    1.4481739470e-04    -8.0872202202e-07     1.9219357413e-07    -3.3057799583e-08     4.5509942142e-07 
   0.000  105.500    1.4488886895e-04    -8.2934629249e-07     1.6394966563e-07    -3.5272636510e-08     5.4574170137e-07 
   0.000  106.000    1.4484754643e-04    -8.2976121547e-07     1.3103134686e-07    -7.8492905896e-09     6.1028798802e-07 
   0.000  106.500    1.4476506779e-04    -8.6709768022e-07     1.1596560078e-07     5.9556465863e-08     6.4647273159e-07 
